Player,Nationality,Rating,Image
AKi, CN,76,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Photic, CN,92,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
RooKie, KR,91,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Zhuo, CN,61,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
shanji, CN,82,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Crisp, CN,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Light, CN,87,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
xiaohu, CN,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
369, CN,88,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Creme, CN,92,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
JackeyLove, CN,92,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Tian, CN,84,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
meiko, CN,66,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Delight, KR,64,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Doran, KR,83,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Peanut, KR,78,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Viper, KR,97,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Zeka, KR,95,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Aiming, KR,91,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Kellin, KR,53,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
Lucid, KR,68,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3f/EDG_Xiamu_2024_Split_1.png/revision/latest/scale-to-width-down/220?cb=20240307144147
